Course Code,Course Name,Course Credits,Prerequisite(s),Exclusion(s),Corequisite(s),Co-list with,Mode of Delivery,Previous Course Code(s),Alternate code(s),Description
acct4020,Financial Statement Analysis,3 Credit(s),ACCT 2010,,,,,,,Analyses of a company#s accounting policies@ ratio and cash flows for the purposes of valuation and risk assessment.  Course is essential for careers in financial management@ investment analysis@ credit analysis@ business valuation@ and consulting.  SBM third year standing preferred.
acct4410,Taxation,3 Credit(s),,,ACCT 3010 AND ACCT 3610,,,,,The Hong Kong taxation system and its administration; taxation of individuals@ partnerships and corporations; stamp duty; obligations compliance.
acct4510,Auditing,3 Credit(s),ACCT 3020,,,,,,,Objectives@ standards and procedures of auditing; preparation of working papers; applications of statistical sampling; computer-assisted auditing and auditing of electronic data processing (EDP) services; professional liability and ethics.
acct4610,Company Law,3 Credit(s),ACCT 3610,,,,,,,Law relating to companies registered in Hong Kong; company formation and records; share and loan capital; management and administration; reconstructions; mergers and take-overs; liquidation and receivership.
acct4710,Accounting Analytics for Professional Accountants,3 Credit(s),ACCT 2010 AND ISOM 2010,,,,,,,Data analytics is reshaping the work of accountants. Applications of data analytics in accounting including: Auditing/Assurance - data analytics techniques used by accounting professionals and auditors nowadays to detect fraud and conduct forensic accounting. Enhancing Financial Reporting: more sophisticated data analytics tools can allow companies to link diverse financial and non-financial datasets and provide more comprehensive and rigorous financial reports to stakeholders. Managing risks: data analytics techniques such as continuous auditing and continuous monitoring can help accounting professionals assess and manage relevant risk levels within their organization. This course aims to provide students with knowledge of the nature and role of data analytics and enable students to apply and understand data analytics technologies to perform audit@ enhance financial reporting@ and minimize risks as accounting professionals.
acct4720,Equity Investment with Machine Learning,3 Credit(s),ACCT 2010 AND ISOM 3400,,,,,,,This course is designed for students interesting in the investment management business@ especially for those who aspire to learn the application of quantitative and machine learning technology in equity investing. The course will cover a wide range of topics in equity investing@ including quantitative investment process@ multi-factor stock-selection models@ portfolio construction methods@ performance evaluation@ and an introduction of applications of AI/machine learning technology in equity investing. This is a very hands-on course. Students will be required to conduct quantitative and machine learning analyses using Python. Prior knowledge in capital markets and python programing is required. For students in their third year of study and above.
acct4980,Independent Study,1-4 Credit(s),,,,,,,,Directed study of selected problems in accounting not covered in other courses.
bibu1010,Biotechnology and Business Seminar,1 Credit(s),,,,,,,,Study on selected current topics in biotechnology and business through attending seminars in related areas. This course provides a platform for students to interact and learn from different academic and practitioner leaders in both biotechnology and business fields. Graded P or F. For BIBU students only.
bibu4820,Biotechnology Entrepreneurship and Business Operations,3 Credit(s),,LIFS 4820,,,,,,This course allows students to acquire a combination of essential scientific principles and practical business know-how in the biotechnology market@ with an emphasis on the uniqueness and complexities of biotechnology entrepreneurship. Special focus will be placed on analyzing the critical factors that are pertinent to a successful venture in biotechnology. These factors will include scientific and technological advancements@ intellectual property rights@ as well as regulatory and commercial considerations. Students will eventually learn how to translate the knowledge into a business plan for start-up processes within the biotechnology industry. Guest speakers will include those who have experience in starting or managing biotechnology companies. For BIBU students in their fourth year of study only.
bibu4830,Biotechnology Management,3 Credit(s),,,,,,,,This course provides students with a general outlook of the roles and responsibilities in managing the biotech business. Business constraints like sales and marketing@ partnerships@ critical success factors in operations@ market entry barriers@ risk management and relationships with stakeholders will be covered in this course@ with special focus on strategic development in the biotech business. Guest speakers will contribute their personal experience to offer a professional view of the key issues@ pitfalls and opportunities in their daily business activity. A large use of case studies and other process management techniques will simulate potential scenarios in which students may be called to operate soon after they completed their university career. For BIBU students in their fourth year of study only.
bibu4840,Biotechnology and Business Capstone Project,3 Credit(s),,,,,,,,Under the supervision of faculty members@ students in small groups will undertake a project to investigate selected topics relevant to the biotechnology industry and its business operations. The project will be delivered through the format of literature review. Course assessment will be based on students# written report and oral presentation that documents the project work and learning experiences. For BIBU students with approval of the course instructor for enrollment in the course.
bibu4850,Biotechnology and Business Project Research,6 Credit(s),LIFS 3110,,,,,,,This is a one-year course. With a one-on-one supervision by faculty member@ students will undertake a research project of their choice in biotechnological innovation/ideas: design of experiments@ analysis of data@ submission of a business plan/proposal in order to commercialize the selected biotechnological innovation/ideas. Credit load will be spread over the year. For BIBU students with approval of the course instructor for enrolling in the course.
bien1010,Introduction to Biomedical Engineering,3 Credit(s),,,,,,BIEN 2010,,This course is designed as an introductory course in biomedical engineering. The aim of this course is to present some of the basic science and human physiology knowledge used by biomedical engineers and illustrates the first steps in applying this knowledge to solve problems in human medicine. The second goal of this course is to link knowledge of basic science and engineering to fields of specialization and current research. This course also introduces the sub-specialties in biomedical engineering and through real-life examples to emphasize the types of problems biomedical engineers solve.
bien2310,Modeling for Chemical and Biological Engineering,3 Credit(s),MATH 1014 OR MATH 1020 OR MATH 1024,,,CENG 2310,[BLD] Blended learning,,,Modeling of physical@ chemical and biological processes. Balance Equations. Dimensional and scaling analysis. Analytical and numerical solutions to initial and boundary value problems. Use of computer tools for engineering calculations. This course uses examples in the Bioengineering discipline. For BIEN students only.
bien2410,Cellular and Systems Physiology for Engineers,3 Credit(s),LIFS 1901 OR Level 3 or above in HKDSE 1x Biology,LIFS 3040,,,,,,Essential cellular and systems physiology for engineers. Hierarchical organization of a complex organism: from organelles to organ systems. Cellular physiology@ neurophysiology@ vision@ muscle and movement@ and the cardiovascular system.
bien2610,Chemical Biology for Engineers,3 Credit(s),(CHEM 1010 OR CHEM 1020) AND (LIFS 1901 OR (Level 3 or above in HKDSE 1x Biology)),,,,,,,A concise introduction of biochemistry@ cell biology@ and pharmacology to engineers. Molecular and supramolecular building blocks of biological systems. Analysis and engineering of biological systems by chemical principles. Introduction to transcriptomics@ proteomics and metabolomics.
bien2990,Academic and Professional Development I,1 Credit(s),,,,,,,,For students in the Bioengineering major. This course is designed to provide academic advising to students@ to enhance their understanding of the bioengineering field@ to encourage them to pursue co-curricular learning opportunities available to them@ and to improve their communication skills. Students are required to attend discussion sessions with advisors and fellow students and selected workshops and seminars. Graded P or F.
bien3300,Data Science for Molecular Engineering,3 Credit(s),COMP 1021,,,,,,CENG 3300,This course is an introductory course on the application of machine learning methods in molecular engineering problems. It covers fundamental data processing and machine learning methods to analyze data in chemistry and biology such as molecular similarity calculation and property prediction.
bien3320,Data Science for Biology and Medicine,3 Credit(s),{COMP 1021 OR [(COMP 1022P OR COMP 1022Q (prior to 2020-21) OR COMP 2011) AND COMP 1029P]} AND (LIFS 1901 OR level 3 or above in HKDSE 1x Biology),,,LIFS 4320,,,,This is an introductory course for the application of data science in biology and medicine. The course will introduce the fundamental principles on data science@ the technologies and implementations of data mining@ as well as the modeling of several practical questions in biomedicine. The topics include introduction to biomedical data@ data visualization@ regression methods and classification methods.
bien3410,Introduction to Bioinstrumentation and Bioimaging,3 Credit(s),BIEN 2410,ELEC 4810,,,,,,This course introduces various biomedical devices to senior undergraduate students@ including (electrical@ chemical@ optical@ and acoustic) devices that can measure EEG@ EMG@ EOG@ oxygen saturation@ blood glucose level@ blood components@ and soft/hard tissue. Students will be able to understand@ design@ and evaluate devices that can acquire biological information from the human body.
bien3910,Bioengineering Laboratory,4 Credit(s),BIEN 2410 AND BIEN 2610,,BIEN 3410,,,,,This course provides hands-on experience with molecular biotechnology@ biomolecular engineering@ biosensors@ biomedical devices@ and bioanalytical techniques. Laboratory experiments including cell culture@ genetic engineering techniques@ bioanalytical methods@ biosensors and biomedical devices@ with additional emphasis on data analysis. For students of the CBE department only.
bien4000,Special Topics in Bioengineering,1-4 Credit(s),,,,,,,,Selected topics of current interest not covered by existing courses. May be graded by letter@ P/F@ or DI/PA/F for different offerings.
bien4110,Regulatory Affairs in the Healthcare Industry,3 Credit(s),,,,,,BIEN 4000C,,This course aims to introduce basic concepts of regulatory science@ while familiarizing students with product development@ manufacturing@ medical and engineering operations@ and quality control / quality assurance processes in the pharmaceutical and medical device industry. Students will also be introduced to the associated regulatory requirements@ with an emphasis on Hong Kong@ Great Bay Area@ China and beyond@ in topics such as Good Manufacturing Practice (GMP)@ pharmaceutical product registration@ pharmacovigilance@ and clinical trials.
bien4310,Statistical Signal Analysis and Applications in Neural Engineering,3 Credit(s),(BIEN 3320 OR MATH 2111) AND (ELEC 2600 OR ISOM 2500 OR LIFS 3150 OR MATH 2411),,,,,BIEN 4000A,ELEC 4830,This is an introductory course on statistical signal processing and its applications in neural engineering. The course introduces the fundamentals of statistical signal processing@ principles of neuroscience@ and the technologies and implementations of neural engineering. The topics include probability@ random variables@ vectors and process@ expectation@ cellular mechanisms and neuroanatomy of the brain@ neural coding theory@ neural network models@ plasticity and learning@ neural interfaces and rehabilitation.
bien4910,Independent Study,1-4 Credit(s),,,,,,,,Independent studies or projects under the directed guidance of a faculty member on a bioengineering topic. Enrollment in the course requires prior approval of the course instructor@ and credits assigned depend on the workload. Students may repeat the course if different topics are taken. The course may be grade by letter or P/F subject to different offerings. May be graded PP.
bien4920,Bioengineering Capstone Design,6 Credit(s),BIEN 3910,BIEN 4930@ BIEN 4940,,,,,,A final-year project course offers practice of bioengineering design through a group design project chosen to integrate materials covered in the curriculum. Credit load may be spread over a year. May be graded PP. For students in the Bioengineering major only.
bien4930,Bioengineering Thesis Research,6 Credit(s),BIEN 3910 AND (CENG 4980 OR UROP 2100),BIEN 4920@ BIEN 4940,,,,,,A final-year project course offers an opportunity to conduct individual bioengineering research under the direct supervision of a faculty member@ which leads to a Bachelor#s thesis. Credit load may be spread over a year. May be graded PP. For students in the Bioengineering major with approval from the department only.
bien4940,Bioengineering Industrial Project,6 Credit(s),BIEN 3910,BIEN 4920@ BIEN 4930,,,,,,This course is intended to provide final-year bioengineering students with practical hands-on training in the form of a full-time or part-time internship or co-op program in a bioengineering company. Credit load may be spread over a year. May be graded PP. For students in the Bioengineering major with approval from the department only.
bien4990,Academic and Professional Development II,1 Credit(s),BIEN 2990,,,,,,,For final-year Bioengineering students. This course is designed to prepare students for the workplace@ to instill in them a sense of professional responsibility@ and to enhance their career management skills. Students are required to attend selected workshops and seminars by practicing bioengineers. Graded P or F.
biph3010,Advanced Biological Physics,3 Credit(s),PHYS 2010 AND (LIFS 2010 OR LIFS 2040) AND (PHYS 1114 OR PHYS 1314),,,,,,BIEN 3020,Biological physics involves the application of physics to achieve an understanding of life processes. This is the second of a two-course series that will prepare advanced undergraduates for research and technical work in Biological physics. It covers advanced biological physics such as molecular and cellular biological physics@ photophysics@ single-molecule biophysics@ medical biophysics@ membrane biological physics@ neurobiophysics@ biostatistics@ biomathematics@ bioinformatics@ computational biology and protein engineering. At the conclusion of this course@ students will be able to critically assess primary research literature written for a general scientific audience. They will also be prepared for mentored practical research investigations or professional job related to biological physics.
biph4010,Principles of Quantitative Instrumentation,3 Credit(s),BIPH 3010,,,,,,,This course aims to provide a general understanding of modern instruments used in biological research with special emphasis on bright-field and fluorescence light microscopes@ electron microscopy@ X-ray crystallography@ NMR@ MRI@ mass spectrometer@ and electrophysiology. The approach is a practical one geared to students who are or will be using these instruments in research. The course consists of both lectures and demonstration. During the lectures@ students learn basic principles of biological instrumentation and the performance of the instruments. In the demonstration@ students apply the understanding gained during the lectures and learn how the instrumentation is used to address biological questions.
ceng1000,Introduction to Chemical and Biological Engineering,3 Credit(s),,,,,,,,From chemistry to engineering@ molecules to useful products. Physical@ chemical and biochemical transformation of materials. Survey of industries related to modern chemical and biological engineering. Basic principles of materials and energy balance. Strategy of molecular synthesis@ process selection and design@ economic and environmental considerations. Examples taken from a diverse range of products spanning realms of food@ consumer products@ energy@ environment@ and medicine. Case studies and team projects on process and product design. For engineering students only.
ceng1010,Academic and Professional Development I,0 Credit(s),,,,,,,,Students not studying in the Chemical and Biomolecular Engineering Department may enroll in this course subject to the course instructors approval. This course is designed to provide academic advising to students@ to enhance their understanding of the industries relevant to chemical engineers@ and to improve their communication skills. Students are required to attend discussion sessions with advisors and selected seminars. Graded P or F.
ceng1500,A First Course on Materials Science and Applications,3 Credit(s),,MECH 2410@ PHYS 3040,,,,,,The scope of this course is to introduce different categories of materials and to elucidate their applications. We will start from the basic concepts of matter to the basic structures at molecular scale@ and then to the science and engineering of materials. The focus of the course is the structure/property relationship. The principles for designing and developing useful materials for special applications will be discussed.
ceng1600,Biotechnology and Its Business Opportunities,3 Credit(s),,,,,,,,This course gives an introductory overview of biotechnology from both technical and business perspectives. It surveys the current landscape of medical biotechnology@ discusses the significant milestones in this field@ describes underlying scientific concepts@ and emphasizes the impact of innovations on human health and economy. Case studies are used to illustrate the opportunities and limitations in current and future biotechnology development. In addition@ experts from industry and academia are invited to give guest lectures on course-related topics.
ceng1700,Introduction to Environmental Engineering,3 Credit(s),,CIVL 2410,,,,,,Fundamentals of environmental impact assessment will be discussed. Life cycle analysis of carbon and energy will be introduced using case studies. Principles of environmental engineering for control of air@ water@ solid and noise pollution will be discussed@ including global pollution@ pollution prevention and minimization. Cost of available technologies will be analyzed.
ceng1980,Industrial Training,0 Credit(s),,,,,,,,A practical training course in an industrial simulated environment. For students of the Chemical and Biological Engineering Department only. Graded P@ PP or F.
ceng2110,Process and Product Design Principles,3 Credit(s),,,,,,,,Processes and process variables@ engineering data@ and process representations. The conservation principle. Material and energy balances on non-reactive and reactive unit operations and process systems with recycles. Introduction to chemical product design.
ceng2210,Chemical and Biological Engineering Thermodynamics,3 Credit(s),(MATH 1014 OR MATH 1020 OR MATH 1024) AND (PHYS 1111 OR PHYS 1112 OR PHYS 1312),,CHEM 1010 OR CHEM 1020,,[BLD] Blended learning,,,First law of thermodynamics for closed and open systems@ enthalpy and the energy equation. PVT data and thermodynamic properties@ methods for their estimation@ phase equilibria. Second and third laws of thermodynamics@ entropy and the Carnot engine. Examples from chemical and biological processes.
ceng2220,Transport Phenomena I,3 Credit(s),PHYS 1111 OR PHYS 1112 OR PHYS 1312,MECH 2210,,,,,,Fundamentals of transport phenomena with emphasis on physical properties@ flow behavior and diffusive transport of fluids in chemical and biological systems. Engineering derivation and quantitative analysis of fluid transport in confined domains. Emphasis on practical application of transport phenomena in chemical and biological engineering. Use of software for solving problems in transport phenomena.
ceng2310,Modeling for Chemical and Biological Engineering,3 Credit(s),MATH 1014 OR MATH 1020 OR MATH 1024,,,BIEN 2310,[BLD] Blended learning,,,Modeling of physical@ chemical and biological processes. Balance Equations. Dimensional and scaling analysis. Analytical and numerical solutions to initial and boundary value problems. Use of computer tools for engineering calculations. This course uses examples in the Chemical or Environmental Engineering disciplines. For CENG and CEEV students only.
ceng3110,Process Dynamics and Control,3 Credit(s),CENG 2110,ELEC 3200@ MECH 3610,,,,CENG 4120,,Basic concepts@ mathematical model@ transfer function. Dynamics of first - and higher-order systems. Feedback control@ controller tuning@ frequency response methods. Cascade control@ feedforward and ratio control. Introduction to computer control and multi-variable control. Control and instrumentation hardware.
ceng3120,Process Design and Integration,3 Credit(s),CENG 2110,,,,,,,Conceptual design of chemical processes. Flowsheet synthesis@ selection and analysis. Short-cut methods@ steady-state simulation@ computer-aided design tools. Heat-exchanger networks@ energy integration. Batch and continuous process design. Case studies and non-traditional applications.
ceng3150,Integrated Chemical Process and Product Design,5 Credit(s),CENG 2110,,,,[EXP] Experiential learning,,,Conceptual design of chemical processes and products. Integration of prior knowledge in the execution of a structured design project@ under the direct guidance of faculty. Project topics encompass both process and product design with different emphases. Design tasks include literature and market survey@ ideation@ feasibility and viability studies@ prototyping and/or simulation@ unit operation or component design@ planning and project management@ and societal and environmental impact assessment. Emphasis on the design process@ hands-on experimentation@ teamwork@ and self-learning.
ceng3210,Separation Processes,3 Credit(s),CENG 2110 AND CENG 2210,,,,,,,Phase equilibria. Ideal and nonideal mixtures. Thermodynamic properties and VLE from equations of state. Liquid-liquid and liquid-solid systems. Stage process@ short-cut and rigorous calculations in absorption@ distillation or extraction. Continuous contacting processes. Separation sequences. Simulation and design.
ceng3220,Transport Phenomena II,3 Credit(s),CENG 2220,MECH 3310,,,,,,Application of transport phenomena in chemical processes. Fluid flow in pipes and channels. Conductive@ forced and free convective@ and radiative heat transfer. Diffusive and convective mass transport. Coupling of transport and chemical reactions. Analysis and design of heat exchangers and contacting processes for separation and reaction. Numerical solutions and simulations of complex systems.
ceng3230,Chemical and Biological Reaction Engineering,3 Credit(s),CHEM 1010 OR CHEM 1020,,,,,,,Stoichiometry and reaction equilibria. Homogeneous reactions kinetics. Mole balances: batch@ continuous-stirred tank and plug flow reactors. Collection and analysis of rate data. Catalytic and enzymatic reaction kinetics and reactor design. Diffusion effects. Examples from chemical and biological processes.
ceng3300,Data Science for Molecular Engineering,3 Credit(s),COMP 1021,,,,,,BIEN 3300,This course is an introductory course on the application of machine learning methods in molecular engineering problems. It covers fundamental data processing and machine learning methods to analyze data in chemistry and biology such as molecular similarity calculation and property prediction.
ceng3950,Chemical and Environmental Engineering Laboratory,4 Credit(s),CENG 2110,,CENG 3210 AND CENG 3230,,,,,Integrated laboratory course for students in Chemical Engineering and Chemical and Environmental Engineering. Experimental modules on various unit operations and processes in chemical engineering and environmental engineering. Laboratory safety and risk assessment. Proper handling and interpretation of experimental data.
ceng4000,Special Topics,3 Credit(s),,,,,,,,Selected topics of current interest. May be graded by letter or DI/PA/F subject to different offerings.
ceng4020,Academic and Professional Development II,0 Credit(s),,,,,,,,Students not studying in the Chemical and Biomolecular Engineering Department may enroll in this course subject to the course instructors approval. This course is designed to provide academic advising to students@ to enhance their understanding of the industries relevant to chemical engineers@ and to improve their communication skills. Students are required to attend discussion sessions with advisors and selected seminars. Graded P or F.
ceng4130,Plant Design and Economics,3 Credit(s),CENG 2110,,,,,,,Computer-aided-design and process evaluation. Risk assessment@ qualitative and quantitative assessment. Hazop@ Hazan@ FMEA@ decision tree@ fault tree@ reliability.  Toxicity@ dispersion@ fire@ explosion@ relief. Workplace safety. Plant safety and hazard analysis. Plant equipment specification and selection. Cost estimation and profitability analysis. Project evaluation. Cost optimization. Environmental control.
ceng4140,Energy Resources@ Conversions and Technologies,3 Credit(s),CHEM 1010 OR CHEM 1020,,,,,,,The course will provide the fundamental knowledge of energy resources@ their conversions and utilization technologies.Basic thermodynamics such as fuel and combustion models@ measurement techniques will be taught to enable students to manage basic conversion calculations and to evaluate different energy utilization options. The course will also cover topics in green energies and fuels@ providing an outlook of future energy uses.
ceng4150,Product and Process Design in Chemical and Biological Engineering,3 Credit(s),CENG 2220 AND CENG 3210 AND CENG 3230,,CENG 3220,,,,,This course covers conceptualization@ design@ manufacture@ and launch of chemical and biological products. These include molecular products@ devices@ functional@ and formulated products. Relevant business and project management concepts are introduced.
ceng4160,Prototype Development for Chemical Processes and Products,3 Credit(s),CENG 2110 OR COMP 1021 OR COMP 1022P OR ELEC 1100,,,,,CENG 4000K,,A process and product design course for chemical and biological engineers via an experiential learning pedagogy. Students will learn to build prototypes of chemical products or miniaturized chemical processes incorporating chemical@ biological@ mechanical and electronic modules. Skills such as mathematical modeling@ 3-D printing@ Arduino programming@ design and assembly of mechanical parts@ data acquisition and processing@ will be taught and practiced. Instructor#s approval is required for enrollment in the course.
ceng4540,Nanomaterials and Applications in Chemical Engineering,3 Credit(s),CENG 3210 and CENG 3230,CENG 5840@ NANO 5350,,,,,,Introduction to nanostructured materials and nanotechnology. Synthesis and characterization of nanostructured materials. Selected applications of nanostructured materials in chemical engineering.
ceng4620,Bioproducts and Processing,3 Credit(s),,,,,,,,Survey of bioproducts@ cellular production hosts@ production techniques (bioreactors)@ separation and purification processes@ product formulation@ product and process design.
ceng4630,Food Processing Technology,3 Credit(s),,,,,,,,Principles of Food Spoilage and Preservation@ Thermal Processing (blanching@ pasteurization@ sterilization@ aseptic UHT processing.)@ Chilling & Freezing@ Dehydration@ Separation and concentration@ Fermentation@ and concept of hurdle technology.
ceng4640,Biomolecular Engineering,3 Credit(s),CENG 2210 AND CENG 3230 AND (Level 3 in HKDSE 1x Biology OR LIFS 1901),,,,,,,Students not studying in the Department of Chemical Engineering may enroll in the course upon instructor#s approval. Molecular biology@ protein engineering@ enzyme kinetics@ thermodynamics and energetics of biological systems@ molecular and cellular processes@ bioreaction networks and metabolic engineering.
ceng4650,Biomaterials and Drug Delivery,3 Credit(s),(CHEM 1010 OR CHEM 1020) AND (LIFS 1901 OR BIEN 2410 OR BIEN 2610),,,,,BIEN 4000B,,This course covers the relevant concepts in biology@ material science@ and engineering principles for the design and applications of biomaterials to meet medical needs@ with emphasis on drug@ gene@ and cell delivery. Essential methods for the physiochemical characterization and preclinical evaluation of biomaterials will be introduced. Students will also learn about the roles of regulations and standard practice in industry. Case students will be featured to highlight the scientific theories and clinical translation of classical and latest therapeutic carriers. Students are expected to have basic background in fluid mechanics and mass transfer.
ceng4670,Pharmaceutical Engineering,3 Credit(s),CHEM 1010 OR CHEM 1020,,,,,,,Survey of western pharmaceuticals; pharmaceutical processing technologies including reactions and separations; enantiomers and chiral separations; polymorphs and solid state pharmaceuticals; pharmaceutical dosage forms including tablets@ capsules and transdermal patches; traditional Chinese medicine processing.
ceng4710,Environmental Control,3 Credit(s),CHEM 1010 OR CHEM 1020,,,,,,,Wastes from the process industries. Behavior of toxic chemicals in atmospheric@ soil and aquatic environments. Adsorption/desorption@ air stripping@ steam stripping@ supercritical extraction. Pyrolysis@ biological@ catalyzed and uncatalyzed reactions.  Integrated environmental control. Instructor#s approval is required for non-CBME students# enrollment in the course.
ceng4720,Environmental Impact Assessment and Management Systems,3 Credit(s),CENG 1700 or CIVL 1140,CIVL 4430,,,,,,This course will review the methods for assessing environmental impacts.  Impact and management systems will be discussed in the context of both HK and international environmental legislation@ which incorporates Licensing@ BATNEEC@ integrated pollution control@ environmental management and auditing systems based on ISO 14000.  Actual case studies from the process industries will be discussed.
ceng4911,Chemical Engineering Project,7 Credit(s),CENG 3120 AND CENG 3910 (prior to 2019-20) AND LANG 2030,,,,,,,A one year long final year project involves the application of Chemical Engineering principles to the design@ planning@ experimental or analytical investigation of current engineering design and research problems. Working in small teams and individually under supervision@ students are expected to demonstrate creative and critical powers through choices and decisions made in areas of uncertainty. Students should have normally completed the second year program. Credit load will be spread over the year.
ceng4912,Chemical and Environmental Engineering Project,7 Credit(s),CENG 3120 AND CENG 3910 (prior to 2019-20) AND LANG 2030,,,,,,,A one year long final year project involves the application of Chemical and Environmental Engineering principles to the design@ planning@ experimental or analytical investigation of current engineering design and research problems.   Working in small teams and individually under supervision@ students are expected to demonstrate creative and critical powers through choices and decisions made in areas of uncertainty. Students should have normally completed the second year program. Credit load will be spread over the year.
ceng4913,Chemical and Biomolecular Engineering Project,7 Credit(s),CENG 3120 AND CENG 3910 (prior to 2019-20) AND LANG 2030,,,,,,,A one year long final year project involves the application of Chemical and Bioproduct Engineering principles to the design@ planning@ experimental or analytical investigation of current engineering design and research problems.   Working in small teams and individually under supervision@ students are expected to demonstrate creative and critical powers through choices and decisions made in areas of uncertainty. Students should have normally completed the second year program. Credit load will be spread over the year.
ceng4920,Chemical Engineering Capstone Design,6 Credit(s),BIEN 3910 OR CENG 3950,CENG 4930@ CENG 4940,,,,,,A final-year project course offers practice of chemical engineering design through a group design project chosen to integrate materials covered in the curriculum. Credit load may be spread over a year. May be graded PP. For students in Chemical Engineering@ Chemical and Environmental Engineering and Chemical and Biomolecular Engineering.
ceng4930,Chemical Engineering Thesis Research,6 Credit(s),(BIEN 3910 OR CENG 3950) AND (CENG 4980 OR UROP 2100),CENG 4920@ CENG 4940,,,,,,A final-year project course offers an opportunity to conduct individual chemical engineering research under the direct supervision of a faculty member@ which leads to a Bachelor#s thesis. Credit load may be spread over a year. May be graded PP. For students in Chemical Engineering@ Chemical and Environmental Engineering@ and Chemical and Biomolecular Engineering with approval from the department.
ceng4940,Chemical Engineering Industrial Project,6 Credit(s),BIEN 3910 OR CENG 3950,CENG 4920@ CENG 4930,,,,,,This course is intended to provide final-year chemical engineering students with practical hands-on training in the form of a full-time or part-time internship or co-op program in an engineering company. Credit load may be spread over a year. May be graded PP. For students in Chemical Engineering@ Chemical and Environmental Engineering@ and Chemical and Biomolecular Engineering with approval from the department.
ceng4950,Chem-E-Car,3 Credit(s),,,,,,CENG 4000I,,This course is a platform for entry-level engineer students to participate in Chem-E-car competition@ i.e. to design and construct a car powered by a chemical or biochemical energy source that will safely carry a specified load over a given distance and stop. The objective of this course is to develop the ability to control an electrochemical reaction@ and to obtain hands-on experience on a practical engineering project@ especially in chemical engineering field. Students will be given the opportunity to interact with each other@ to integrate the learning experience to design and build a device@ and chances to prepare for starting their future career in engineering. It is a student-led project@ designed to motivate students for engineers. Graded DI/PA/F. Enrollment in the project course require instructor#s approval.
ceng4980,Investigation Project,3 Credit(s),,,,,,,,Students conduct in-depth experimental or computational investigations on selected topics in one of the departmental research areas. Students work under supervision and are encouraged to use their own initiative to complete an appropriate program of work within the time allocated. Enrollment is subject to approval by department and supervisor. Graded Distinction/Pass/Fail. May be repeated for credits. May be graded PP.
